STORE_ID,STORE_NAME,CITY,STATE,REGION,OPENED_AT
S001,Falhari Store 001,Chandigarh,Punjab,NORTH,2021-01-31
S002,Falhari Store 002,Panaji,Goa,WEST,2019-07-26
S003,Falhari Store 003,Amritsar,Punjab,NORTH,2018-12-23
S004,Falhari Store 004,Bhubaneswar,Odisha,EAST,2018-05-03
S005,Falhari Store 005,Ghaziabad,Uttar Pradesh,NORTH,2020-08-10
S006,Falhari Store 006,Bhopal,Madhya Pradesh,CENTRAL,2020-03-25
S007,Falhari Store 007,Bilaspur,Chhattisgarh,CENTRAL,2020-06-21
S008,Falhari Store 008,Gaya,Bihar,EAST,2018-01-27
S009,Falhari Store 009,Vadodara,Gujarat,WEST,2022-09-28
S010,Falhari Store 010,Warangal,Telangana,SOUTH,2019-09-29
S011,Falhari Store 011,Nagpur,Maharashtra,WEST,2019-02-23
S012,Falhari Store 012,Kanpur,Uttar Pradesh,NORTH,2019-02-01
S013,Falhari Store 013,Thiruvananthapuram,Kerala,SOUTH,2020-12-19
S014,Falhari Store 014,Faridabad,Haryana,NORTH,2019-05-27
S015,Falhari Store 015,Kolkata,West Bengal,EAST,2021-04-15
S016,Falhari Store 016,Kozhikode,Kerala,SOUTH,2020-02-27
S017,Falhari Store 017,Noida,Uttar Pradesh,NORTH,2020-07-22
S018,Falhari Store 018,Chennai,Tamil Nadu,SOUTH,2020-08-11
S019,Falhari Store 019,Ludhiana,Punjab,NORTH,2021-02-12
S020,Falhari Store 020,Gaya,Bihar,EAST,2019-10-29
S021,Falhari Store 021,Thiruvananthapuram,Kerala,SOUTH,2020-05-08
S022,Falhari Store 022,Mangalore,Karnataka,SOUTH,2018-10-20
S023,Falhari Store 023,Vadodara,Gujarat,WEST,2020-09-29
S024,Falhari Store 024,Surat,Gujarat,WEST,2022-04-04
S025,Falhari Store 025,Mangalore,Karnataka,SOUTH,2020-06-18
S026,Falhari Store 026,Hyderabad,Telangana,SOUTH,2020-07-27
S027,Falhari Store 027,Faridabad,Haryana,NORTH,2022-07-02
S028,Falhari Store 028,Bengaluru,Karnataka,SOUTH,2020-05-14
S029,Falhari Store 029,Hyderabad,Telangana,SOUTH,2023-08-07
